iter	Passed	Remaining
0	145	145336
1	154	76947
2	160	53229
3	164	41026
4	170	33943
5	176	29197
6	181	25693
7	192	23924
8	198	21808
9	206	20476
10	212	19072
11	218	17967
12	225	17096
13	230	16239
14	236	15499
15	240	14813
16	245	14183
17	251	13714
18	258	13322
19	262	12844
20	270	12633
21	279	12409
22	291	12363
23	302	12308
24	310	12102
25	323	12101
26	332	11968
27	340	11812
28	346	11599
29	356	11511
30	369	11544
31	383	11602
32	390	11452
33	399	11341
34	406	11201
35	416	11149
36	424	11051
37	433	10962
38	436	10767
39	442	10615
40	447	10456
41	452	10310
42	456	10164
43	462	10048
44	466	9903
45	470	9765
46	476	9665
47	483	9587
48	490	9523
49	498	9476
50	505	9415
51	513	9367
52	518	9261
53	524	9193
54	531	9138
55	548	9254
56	552	9144
57	556	9040
58	561	8957
59	565	8857
60	569	8760
61	573	8681
62	578	8606
63	582	8515
64	585	8427
65	594	8412
66	597	8326
67	601	8245
68	606	8179
69	609	8101
70	613	8031
71	617	7963
72	623	7911
73	626	7840
74	631	7792
75	638	7763
76	643	7708
77	647	7649
78	653	7614
79	657	7557
80	661	7503
81	666	7457
82	670	7403
83	674	7353
84	681	7334
85	686	7294
86	690	7245
87	693	7192
88	699	7158
89	704	7122
90	708	7074
91	712	7033
92	718	7005
93	722	6964
94	726	6922
95	732	6900
96	743	6921
97	751	6912
98	757	6889
99	761	6857
100	767	6827
101	771	6792
102	776	6762
103	783	6750
104	787	6709
105	792	6682
106	799	6669
107	802	6631
108	807	6604
109	812	6575
110	816	6543
111	821	6511
112	827	6492
113	832	6468
114	836	6438
115	840	6407
116	845	6384
117	849	6353
118	856	6337
119	863	6330
120	867	6301
121	875	6300
122	880	6280
123	885	6258
124	894	6259
125	898	6229
126	906	6230
127	911	6209
128	916	6189
129	924	6185
130	928	6160
131	934	6145
132	941	6135
133	945	6109
134	955	6123
135	959	6097
136	963	6071
137	969	6057
138	974	6035
139	977	6007
140	982	5985
141	986	5961
142	991	5941
143	995	5917
144	1001	5905
145	1005	5881
146	1010	5863
147	1016	5853
148	1024	5848
149	1030	5841
150	1037	5835
151	1042	5814
152	1045	5789
153	1052	5780
154	1055	5756
155	1061	5741
156	1068	5739
157	1075	5729
158	1078	5705
159	1085	5696
160	1089	5675
161	1094	5662
162	1101	5654
163	1108	5652
164	1117	5655
165	1122	5639
166	1125	5616
167	1133	5613
168	1144	5629
169	1152	5624
170	1157	5610
171	1164	5605
172	1169	5590
173	1177	5588
174	1182	5574
175	1189	5570
176	1194	5554
177	1198	5533
178	1201	5512
179	1209	5511
180	1213	5489
181	1216	5467
182	1221	5453
183	1226	5439
184	1232	5430
185	1241	5432
186	1244	5412
187	1249	5395
188	1257	5394
189	1261	5375
190	1264	5357
191	1271	5350
192	1274	5329
193	1278	5310
194	1281	5291
195	1288	5284
196	1292	5267
197	1296	5252
198	1306	5259
199	1311	5247
200	1315	5230
201	1321	5222
202	1325	5202
203	1329	5186
204	1333	5171
205	1337	5154
206	1340	5135
207	1343	5117
208	1347	5100
209	1352	5086
210	1355	5068
211	1359	5052
212	1362	5035
213	1367	5023
214	1371	5008
215	1375	4991
216	1381	4983
217	1385	4968
218	1388	4951
219	1391	4934
220	1395	4920
221	1399	4904
222	1404	4893
223	1409	4881
224	1413	4869
225	1417	4854
226	1420	4838
227	1424	4821
228	1428	4809
229	1431	4793
230	1435	4777
231	1439	4766
232	1443	4752
233	1446	4736
234	1450	4721
235	1454	4707
236	1457	4692
237	1461	4678
238	1464	4663
239	1468	4648
240	1473	4641
241	1477	4628
242	1481	4614
243	1486	4604
244	1489	4590
245	1494	4581
246	1498	4566
247	1501	4552
248	1504	4537
249	1507	4523
250	1510	4508
251	1514	4494
252	1517	4481
253	1521	4467
254	1524	4454
255	1528	4440
256	1531	4426
257	1535	4415
258	1539	4403
259	1542	4390
260	1545	4377
261	1549	4364
262	1552	4350
263	1556	4338
264	1560	4328
265	1563	4314
266	1567	4302
267	1571	4291
268	1575	4281
269	1579	4269
270	1583	4258
271	1586	4246
272	1592	4241
273	1597	4231
274	1600	4219
275	1604	4208
276	1607	4196
277	1611	4184
278	1614	4173
279	1619	4163
280	1622	4151
281	1625	4139
282	1629	4128
283	1633	4117
284	1636	4106
285	1640	4094
286	1643	4083
287	1647	4073
288	1651	4064
289	1655	4052
290	1658	4041
291	1662	4030
292	1665	4018
293	1669	4009
294	1673	4000
295	1678	3992
296	1683	3984
297	1687	3976
298	1691	3966
299	1695	3957
300	1700	3948
301	1704	3939
302	1708	3929
303	1712	3921
304	1718	3916
305	1721	3904
306	1725	3895
307	1730	3887
308	1734	3878
309	1739	3871
310	1744	3865
311	1749	3857
312	1753	3848
313	1759	3843
314	1765	3838
315	1769	3830
316	1779	3833
317	1784	3828
318	1790	3821
319	1795	3815
320	1800	3809
321	1806	3803
322	1812	3797
323	1815	3788
324	1821	3783
325	1827	3778
326	1831	3769
327	1836	3762
328	1840	3753
329	1844	3745
330	1853	3746
331	1857	3737
332	1861	3729
333	1865	3719
334	1870	3713
335	1876	3708
336	1880	3699
337	1884	3691
338	1890	3685
339	1895	3679
340	1898	3669
341	1902	3660
342	1907	3653
343	1911	3645
344	1915	3635
345	1919	3627
346	1924	3621
347	1927	3611
348	1932	3604
349	1935	3595
350	1940	3587
351	1943	3577
352	1947	3568
353	1951	3561
354	1955	3553
355	1959	3544
356	1963	3536
357	1967	3527
358	1970	3519
359	1975	3511
360	1978	3502
361	1982	3494
362	1987	3488
363	1991	3479
364	1997	3475
365	2004	3471
366	2007	3463
367	2012	3455
368	2015	3447
369	2020	3439
370	2023	3430
371	2026	3421
372	2029	3412
373	2033	3404
374	2037	3395
375	2040	3386
376	2044	3378
377	2049	3371
378	2052	3363
379	2056	3355
380	2059	3346
381	2064	3340
382	2068	3331
383	2071	3323
384	2075	3314
385	2078	3306
386	2083	3299
387	2086	3290
388	2090	3284
389	2094	3276
390	2098	3267
391	2101	3259
392	2104	3251
393	2108	3242
394	2115	3239
395	2118	3231
396	2122	3223
397	2126	3216
398	2129	3208
399	2133	3199
400	2137	3193
401	2141	3185
402	2144	3177
403	2148	3168
404	2151	3160
405	2155	3153
406	2158	3145
407	2162	3138
408	2167	3131
409	2172	3126
410	2176	3119
411	2180	3112
412	2183	3103
413	2187	3096
414	2191	3088
415	2194	3081
416	2197	3072
417	2202	3066
418	2205	3058
419	2213	3056
420	2218	3051
421	2222	3044
422	2226	3037
423	2232	3032
424	2236	3026
425	2241	3020
426	2246	3014
427	2251	3008
428	2255	3002
429	2259	2995
430	2262	2987
431	2268	2982
432	2274	2978
433	2279	2972
434	2284	2966
435	2289	2961
436	2293	2954
437	2297	2948
438	2302	2942
439	2309	2939
440	2313	2932
441	2319	2927
442	2322	2920
443	2326	2913
444	2330	2906
445	2335	2900
446	2341	2896
447	2345	2889
448	2348	2882
449	2354	2877
450	2358	2870
451	2367	2870
452	2375	2868
453	2380	2863
454	2385	2857
455	2390	2851
456	2395	2845
457	2398	2838
458	2405	2835
459	2411	2830
460	2415	2823
461	2420	2819
462	2424	2811
463	2429	2806
464	2435	2801
465	2439	2795
466	2445	2791
467	2452	2788
468	2456	2780
469	2461	2775
470	2465	2769
471	2470	2763
472	2475	2757
473	2479	2751
474	2483	2745
475	2487	2738
476	2490	2731
477	2494	2724
478	2499	2718
479	2502	2711
480	2507	2705
481	2511	2699
482	2515	2692
483	2518	2685
484	2522	2678
485	2527	2672
486	2531	2666
487	2536	2661
488	2543	2657
489	2548	2652
490	2551	2645
491	2557	2640
492	2562	2635
493	2566	2628
494	2570	2622
495	2574	2616
496	2578	2609
497	2581	2602
498	2585	2595
499	2588	2588
500	2592	2582
501	2596	2575
502	2599	2568
503	2603	2562
504	2606	2555
505	2610	2548
506	2613	2541
507	2616	2534
508	2619	2527
509	2625	2522
510	2628	2515
511	2631	2508
512	2634	2501
513	2639	2495
514	2643	2489
515	2646	2482
516	2650	2476
517	2654	2469
518	2658	2463
519	2661	2456
520	2665	2450
521	2668	2443
522	2673	2438
523	2676	2431
524	2680	2425
525	2683	2418
526	2689	2413
527	2692	2406
528	2695	2399
529	2697	2392
530	2700	2385
531	2704	2378
532	2707	2372
533	2711	2366
534	2715	2359
535	2719	2353
536	2722	2347
537	2726	2341
538	2731	2335
539	2743	2336
540	2746	2330
541	2750	2324
542	2756	2319
543	2761	2314
544	2765	2308
545	2771	2304
546	2778	2300
547	2785	2297
548	2788	2290
549	2791	2284
550	2795	2277
551	2799	2271
552	2802	2265
553	2805	2258
554	2809	2252
555	2813	2246
556	2819	2242
557	2823	2236
558	2827	2230
559	2834	2227
560	2837	2220
561	2842	2215
562	2846	2209
563	2850	2203
564	2855	2198
565	2862	2194
566	2867	2189
567	2873	2185
568	2883	2184
569	2889	2179
570	2899	2178
571	2911	2178
572	2923	2178
573	2930	2174
574	2936	2170
575	2940	2164
576	2951	2164
577	2956	2158
578	2964	2155
579	2974	2154
580	2984	2152
581	2989	2147
582	2997	2143
583	3001	2137
584	3008	2134
585	3018	2132
586	3029	2131
587	3034	2126
588	3042	2122
589	3047	2117
590	3051	2111
591	3057	2107
592	3063	2102
593	3068	2097
594	3072	2091
595	3077	2086
596	3087	2084
597	3092	2078
598	3098	2074
599	3101	2067
600	3105	2061
601	3111	2056
602	3116	2051
603	3120	2045
604	3123	2039
605	3129	2034
606	3134	2029
607	3137	2022
608	3143	2018
609	3151	2015
610	3156	2009
611	3161	2004
612	3165	1998
613	3168	1991
614	3174	1987
615	3183	1984
616	3198	1985
617	3202	1979
618	3207	1974
619	3211	1968
620	3215	1962
621	3218	1956
622	3222	1950
623	3226	1944
624	3230	1938
625	3233	1932
626	3237	1926
627	3241	1919
628	3250	1917
629	3256	1912
630	3263	1908
631	3276	1907
632	3279	1901
633	3284	1896
634	3291	1892
635	3296	1886
636	3313	1888
637	3326	1887
638	3333	1883
639	3339	1878
640	3344	1873
641	3351	1868
642	3356	1863
643	3361	1858
644	3366	1852
645	3372	1848
646	3378	1843
647	3383	1838
648	3388	1832
649	3392	1826
650	3397	1821
651	3406	1818
652	3411	1812
653	3415	1807
654	3420	1801
655	3426	1796
656	3429	1790
657	3434	1784
658	3438	1779
659	3443	1773
660	3446	1767
661	3450	1761
662	3454	1756
663	3458	1750
664	3462	1744
665	3467	1738
666	3476	1735
667	3480	1730
668	3484	1723
669	3490	1719
670	3497	1714
671	3502	1709
672	3507	1704
673	3511	1698
674	3515	1692
675	3519	1686
676	3522	1680
677	3526	1674
678	3530	1669
679	3535	1663
680	3542	1659
681	3546	1653
682	3550	1647
683	3554	1642
684	3558	1636
685	3561	1630
686	3565	1624
687	3572	1619
688	3575	1613
689	3580	1608
690	3586	1603
691	3590	1597
692	3595	1592
693	3599	1587
694	3604	1581
695	3608	1576
696	3613	1570
697	3618	1565
698	3621	1559
699	3624	1553
700	3627	1547
701	3635	1543
702	3639	1537
703	3643	1531
704	3647	1526
705	3652	1521
706	3656	1515
707	3672	1514
708	3675	1508
709	3681	1503
710	3686	1498
711	3691	1493
712	3696	1487
